arm,target,offline_metric_type,offline_learned,offline_best_baseline,offline_beats_baselines,n_test,base_rate,expected_positives,rare_target,aligned_cl_metric,aligned_cl_delta,divergence_flag,cl_reward_per_impression,cl_reward_per_impression_delta,cl_mean_satisfaction,cl_mean_satisfaction_delta,cl_retention_7d,cl_retention_7d_delta,cl_sessions_per_user_per_day,cl_sessions_per_user_per_day_delta,cl_mean_session_utility,cl_mean_session_utility_delta
w_watch_100,liked,AUC,0.6230741878,0.6078726168,all,28461,0.2030753058,5779.7262783738,0,reward_per_impression,0.002966655857338407,ALIGNED,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,not_interested,AUC,0.7080158188,0.6521068087,all,28461,0.1054174202,3000.2851963122,0,mean_satisfaction,0.07707652355095626,ALIGNED,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,satisfaction,RMSE,1.165653847,1.165375654,some,599,2.611790393,,0,mean_satisfaction,0.07707652355095626,partial-aligned,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,session_exit,AUC,0.6781407528,0.6241241475,all,28461,0.2344965211,6674.0054870271,0,mean_session_utility,0.6039174242597882,ALIGNED,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,shared,AUC,0.5737151448,0.5723446372,all,28461,0.07670446953,2183.08590729333,0,reward_per_impression,0.002966655857338407,ALIGNED,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100,watch_ratio,RMSE,0.854927237,0.8626512883,all,28461,1.511371567,,0,reward_per_impression,0.002966655857338407,ALIGNED,0.4015309458074974,0.002966655857338407,-0.22046235095552577,0.07707652355095626,0.9944,0.0,1.4590333333333334,0.21986666666666665,-2.2290466539670115,0.6039174242597882
w_watch_100_noexit,completed,AUC,0.6453141124,0.6218401793,all,22631,0.8057576367,18235.1010761577,0,reward_per_impression,-0.024725685990344026,DIVERGENCE,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,followed,AUC,0.4964079686,0.5,some,22631,0.01462017685,330.86922229235,0,reward_per_impression,-0.024725685990344026,partial-divergence,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,liked,AUC,0.5762469575,0.5860430919,some,22631,0.1902431672,4305.3931169032,0,reward_per_impression,-0.024725685990344026,partial-divergence,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,not_interested,AUC,0.7253077853,0.6437651201,all,22631,0.1191720257,2696.9821136167,0,mean_satisfaction,0.013533303980894862,ALIGNED,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,satisfaction,RMSE,1.168789061,1.227944174,all,447,2.51974013,,0,mean_satisfaction,0.013533303980894862,ALIGNED,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,session_exit,AUC,0.6529220665,0.6213589572,all,22631,0.2385751608,5399.1944640648,0,mean_session_utility,0.21281849890191396,ALIGNED,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,shared,AUC,0.5535756612,0.5683748938,some,22631,0.07194533762,1628.19493567822,0,reward_per_impression,-0.024725685990344026,partial-divergence,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
w_watch_100_noexit,watch_ratio,RMSE,0.9290134506,0.9118445636,none,22631,1.431399459,,0,reward_per_impression,-0.024725685990344026,consistent-null,0.37383860395981494,-0.024725685990344026,-0.28400557052558717,0.013533303980894862,0.9944,0.0,1.3152,0.07603333333333318,-2.620145579324886,0.21281849890191396
